,1/11/2008,1/18/2008,1/25/2008,2/1/2008,2/8/2008,2/15/2008,2/22/2008,2/29/2008,3/7/2008,3/14/2008,3/20/2008,3/28/2008,4/4/2008,4/11/2008,4/18/2008,4/25/2008,5/2/2008,5/9/2008,5/16/2008,5/23/2008,5/30/2008,6/6/2008,6/13/2008,6/20/2008,6/27/2008,7/3/2008,7/11/2008,7/18/2008,7/25/2008,8/1/2008,8/8/2008,8/15/2008,8/22/2008,8/29/2008,9/5/2008,9/12/2008,9/19/2008,9/26/2008,10/3/2008,10/10/2008,10/17/2008,10/24/2008,10/31/2008,11/7/2008,11/14/2008,11/21/2008,11/28/2008,12/5/2008,12/12/2008,12/19/2008,12/26/2008,1/2/2009,1/9/2009,1/16/2009,1/23/2009,1/30/2009,2/6/2009,2/13/2009,2/20/2009,2/27/2009,3/6/2009,3/13/2009,3/20/2009,3/27/2009,4/3/2009,4/9/2009,4/17/2009,4/24/2009,5/1/2009,5/8/2009,5/15/2009,5/22/2009,5/29/2009,6/5/2009,6/12/2009,6/19/2009,6/26/2009,7/2/2009,7/10/2009,7/17/2009,7/24/2009,7/31/2009,8/7/2009,8/14/2009,8/21/2009,8/28/2009,9/4/2009,9/11/2009,9/18/2009,9/25/2009,10/2/2009,10/9/2009,10/16/2009,10/23/2009,10/30/2009,11/6/2009,11/13/2009,11/20/2009,11/27/2009,12/4/2009,12/11/2009,12/18/2009,12/24/2009,12/31/2009,1/8/2010,1/15/2010,1/22/2010,1/29/2010,2/5/2010,2/12/2010,2/19/2010,2/26/2010,3/5/2010,3/12/2010,3/19/2010,3/26/2010,4/1/2010,4/9/2010,4/16/2010,4/23/2010,4/30/2010,5/7/2010,5/14/2010,5/21/2010,5/28/2010,6/4/2010,6/11/2010,6/18/2010,6/25/2010,7/2/2010,7/9/2010,7/16/2010,7/23/2010,7/30/2010,8/6/2010,8/13/2010,8/20/2010,8/27/2010,9/3/2010,9/10/2010,9/17/2010,9/24/2010,10/1/2010,10/8/2010,10/15/2010,10/22/2010,10/29/2010,11/5/2010,11/12/2010,11/19/2010,11/26/2010,12/3/2010,12/10/2010,12/17/2010,12/23/2010,12/31/2010,1/7/2011,1/14/2011,1/21/2011,1/28/2011,2/4/2011,2/11/2011,2/18/2011,2/25/2011,3/4/2011,3/11/2011,3/18/2011,3/25/2011,4/1/2011,4/8/2011,4/15/2011,4/21/2011,4/29/2011,5/6/2011,5/13/2011,5/20/2011,5/27/2011,6/3/2011,6/10/2011,6/17/2011,6/24/2011,7/1/2011,7/8/2011,7/15/2011,7/22/2011,7/29/2011,8/5/2011,8/12/2011,8/19/2011,8/26/2011,9/2/2011,9/9/2011,9/16/2011,9/23/2011,9/30/2011,10/7/2011,10/14/2011,10/21/2011,10/28/2011,11/4/2011,11/11/2011,11/18/2011,11/25/2011,12/2/2011,12/9/2011,12/16/2011,12/23/2011,12/30/2011,1/6/2012,1/13/2012,1/20/2012,1/27/2012,2/3/2012,2/10/2012,2/17/2012,2/24/2012,3/2/2012,3/9/2012,3/16/2012,3/23/2012,3/30/2012,4/5/2012,4/13/2012,4/20/2012,4/27/2012,5/4/2012,5/11/2012,5/18/2012,5/25/2012,6/1/2012,6/8/2012,6/15/2012,6/22/2012,6/29/2012,7/6/2012,7/13/2012,7/20/2012,7/27/2012,8/3/2012,8/10/2012,8/17/2012,8/24/2012,8/31/2012,9/7/2012,9/14/2012,9/21/2012,9/28/2012,10/5/2012,10/12/2012,10/19/2012,10/26/2012,11/2/2012,11/9/2012,11/16/2012,11/23/2012,11/30/2012,12/7/2012,12/14/2012,12/21/2012,12/28/2012,1/4/2013,1/11/2013,1/18/2013,1/25/2013,2/1/2013,2/8/2013,2/15/2013
2.0_5_300,95011,71803,56386,47093,29778,26770,30390,29334,32730,31665,12286,14248,1345,2870,-7689,-4005,-110,3909,9453,4746,10732,20357,21252,29451,28342,27022,24712,16290,12631,13319,6075,13522,12691,28171,17343,5635,-24431,-33494,-44361,-56005,-64651,-86236,-102157,-107914,-130084,-156379,-163786,-168876,-170535,-164345,-153848,-133621,-127089,-131880,-126004,-124642,-127397,-121279,-114696,-107603,-103269,-125785,-118538,-109294,-99803,-89178,-70647,-53596,-35925,-29265,-19191,104,26416,44999,73635,90867,117692,144752,170230,163169,183938,206057,229675,264419,292367,320860,342452,369456,377594,412831,443889,462561,493986,521354,518589,539862,561952,590414,616290,637466,662507,684272,704295,730732,744963,761653,781007,789226,801762,814790,831222,849524,866046,883071,900631,910040,929460,945754,958172,964932,964863,930955,927916,901345,905689,909858,912558,918334,903525,874234,873329,878720,878305,882739,889935,877618,881453,881948,879582,885742,893842,903680,914885,921453,930459,943261,952123,954170,957527,964641,971382,968090,975462,984001,997911,1017404,1020130,1022182,1028184,1035102,1033052,1042654,1051748,1057564,1064593,1062064,1063301,1068023,1079299,1090704,1099519,1104944,1112150,1109368,1120824,1130155,1138307,1141722,1145245,1154784,1158472,1137643,1144439,1151869,1154864,1147504,1113699,1112851,1101203,1102727,1107798,1103473,1086867,1062808,1061168,1055039,1052700,1053914,1045765,1046794,1051533,1053379,1055535,1036719,1045662,1042937,1052048,1071933,1085696,1094948,1109308,1118406,1125864,1140861,1159222,1176887,1192191,1207704,1218810,1239468,1256166,1273578,1287262,1301209,1309103,1323064,1332463,1338852,1347210,1359388,1361707,1372224,1380806,1386457,1395463,1407364,1417757,1421186,1426417,1435847,1456799,1471907,1493455,1506716,1510693,1520898,1531007,1541904,1548435,1548573,1556547,1566556,1572243,1572999,1580780,1592635,1600155,1607918,1611444,1627507,1610603,1616610,1630701,1639856,1647337,1659106,1673486
1.75_10_350,97331,82004,68074,63861,53581,53646,57064,57345,59685,62239,45689,46934,41612,46321,36940,39417,44707,48359,54605,52366,55910,64514,64706,72492,75179,74986,73594,70615,69179,69968,60421,66521,67823,81310,73869,67196,40659,30463,17999,3387,2137,-17861,-33895,-34222,-66955,-81870,-86916,-88928,-92521,-87548,-76367,-65121,-55588,-57387,-52396,-48599,-46699,-38968,-29496,-26583,-19469,-34706,-27671,-20911,-9453,3751,19155,36976,54724,61050,72572,89165,113392,132985,154677,169182,189940,215958,241380,243099,259932,279348,303751,331982,361882,392646,419204,447306,459534,486950,518345,536345,564143,589232,588470,604835,626741,647124,671538,692091,715819,736697,755489,775896,790075,806629,825844,836148,844614,859329,873181,887350,904952,919779,935941,947323,965525,981823,993405,1003709,1003789,972764,971885,948981,951766,954168,958495,963475,956637,928258,928577,933061,932632,938748,943033,934651,937319,942176,943943,949390,955290,962223,973267,979079,985452,995335,1002804,1007872,1011836,1016766,1022283,1020736,1029688,1035110,1046155,1060317,1063994,1068692,1076354,1082830,1081789,1087907,1096537,1103838,1112209,1112215,1111682,1118063,1126200,1136562,1144164,1150557,1158961,1155486,1165205,1175855,1184068,1189605,1194872,1199884,1203260,1182288,1187772,1193004,1194968,1189911,1158283,1158302,1153308,1154334,1156133,1153765,1136664,1111533,1110296,1106767,1106590,1106121,1097146,1100104,1106181,1110719,1112571,1108260,1115055,1114248,1119157,1131330,1141081,1150247,1162100,1169265,1179302,1193769,1208529,1226071,1239453,1251194,1260620,1273796,1289779,1306873,1322676,1333615,1344133,1357185,1369256,1370695,1376105,1381434,1380267,1390978,1399470,1404564,1414944,1422391,1432428,1436294,1443345,1448449,1460110,1475000,1492929,1506172,1512257,1518910,1530415,1538861,1546894,1547331,1553586,1556677,1561211,1561414,1567063,1573252,1580085,1587108,1589538,1600922,1591397,1597677,1607722,1616541,1624308,1634271,1646162
1.25_10_300,92216,73074,51765,41755,24611,22322,26054,24316,25439,24763,427,-1276,-14263,-11697,-22729,-18521,-13690,-10050,-5312,-11237,-5091,6151,4588,12071,12233,10782,4860,-1218,-6964,-8213,-19715,-13584,-15300,1396,-10640,-22897,-54834,-72140,-94746,-116615,-121291,-150196,-175389,-180049,-215482,-238381,-252582,-257919,-260464,-254269,-245112,-231469,-219901,-229489,-221469,-222726,-221191,-217140,-209478,-205715,-199902,-220174,-211371,-202313,-186602,-169112,-148054,-128820,-107767,-100815,-90196,-71876,-41013,-21151,5437,18911,46128,77698,105920,98765,121757,144096,170280,201514,236025,268942,291175,325425,336249,368113,402423,416395,448904,477072,474459,494744,520020,544251,571774,591448,618105,641674,663190,688645,703394,722877,743188,756747,765653,785810,804974,822802,839751,858205,876653,889493,910521,929841,942315,953052,952806,918369,915012,885053,887648,892202,897612,904316,891933,862363,861753,867548,868153,875700,881850,869574,872788,874284,873474,881646,889269,897490,911593,918855,928738,942715,953376,956177,960735,965281,974482,970013,981640,989274,1001424,1020840,1024064,1026211,1034266,1041581,1038606,1046660,1055602,1064122,1073349,1068817,1067243,1074030,1084677,1095746,1103471,1109687,1117507,1114095,1126470,1139242,1147972,1149813,1155248,1163274,1164128,1143959,1151439,1158335,1161599,1152593,1115658,1113134,1101237,1101148,1103185,1094618,1073913,1046571,1042724,1028463,1025975,1026271,1016141,1015841,1022536,1024676,1026936,1012519,1023223,1019122,1025529,1043360,1056110,1068000,1081015,1091323,1101170,1119075,1135818,1158158,1171788,1185093,1196268,1212211,1231770,1251885,1270355,1285089,1295749,1308757,1321452,1322924,1330055,1339162,1335828,1346155,1354058,1363045,1376147,1384393,1393928,1399557,1407563,1416888,1431284,1448849,1469820,1485205,1490436,1500172,1510288,1520649,1528983,1529297,1535874,1541171,1547209,1545699,1552190,1561143,1569125,1576573,1578370,1593554,1579808,1587538,1601638,1612336,1620607,1631082,1643576
1.0_5_250,85365,62900,37664,21587,2067,-2103,1283,-4442,-8808,-12379,-37690,-42910,-56556,-54021,-67470,-62104,-59846,-57822,-52384,-60982,-46583,-38693,-42416,-35029,-36663,-37723,-44609,-55980,-63690,-64263,-74036,-69485,-73276,-53628,-62832,-78507,-111228,-127910,-156156,-186223,-213804,-246208,-278104,-292021,-323522,-353531,-375990,-390415,-401211,-399799,-392956,-376259,-365166,-379504,-365311,-372233,-376023,-378430,-364202,-357363,-352982,-376153,-371005,-358378,-342418,-324680,-298730,-279143,-259613,-255730,-251812,-231426,-195988,-177059,-147205,-133667,-101599,-68860,-42361,-53967,-26087,-1569,23747,58833,94351,127661,148220,183941,190547,227476,262617,275584,308695,338657,334141,360253,387894,417382,447483,465104,490187,515947,540255,570955,583704,601109,625969,640212,652717,674511,699673,717974,733933,754969,770927,783212,805858,823739,835990,845094,841375,807858,803218,776863,773956,780120,783114,792704,776278,747219,747143,753472,751355,762262,771561,757028,759345,755322,753446,766140,777087,786159,803808,809384,817826,832988,844466,844108,849824,852436,857810,853291,865915,873615,888909,911732,914310,916010,926077,933308,926992,938774,950342,955625,963122,958912,954397,961066,975298,986101,992596,998009,1005331,1000336,1015210,1029691,1041869,1043610,1045879,1059714,1058244,1037707,1051739,1062297,1066872,1057141,1023068,1016169,993373,990198,985785,973888,953127,927542,916851,895295,886284,882921,873060,866655,869360,870317,873032,853369,867069,859975,868516,898793,920453,930682,950286,962527,970732,991685,1011610,1039603,1054554,1068825,1081662,1103295,1121700,1143802,1162983,1181587,1188244,1204988,1216115,1211297,1218911,1232097,1227657,1234592,1238332,1248615,1260615,1271146,1281264,1283233,1292855,1303116,1325145,1342932,1366866,1386277,1389350,1405869,1414389,1428137,1437245,1436664,1444847,1455749,1462517,1459192,1468376,1483868,1495521,1503479,1504124,1526923,1517622,1528926,1544913,1558468,1567280,1578992,1595047
1.25_5_250,88544,65549,43509,29203,10856,7459,9392,3517,1839,-1861,-26278,-28610,-44389,-42112,-55720,-52371,-51612,-47801,-41487,-51203,-39571,-30042,-33161,-26777,-33942,-36248,-41769,-53637,-60901,-61759,-70907,-64676,-68332,-48204,-60172,-74079,-106374,-121411,-145641,-171107,-193094,-224843,-252762,-265372,-294363,-322653,-340960,-354036,-362375,-358586,-348927,-330410,-320950,-331723,-320386,-325432,-331622,-331387,-324545,-317815,-315833,-337546,-330596,-319806,-306877,-289755,-266412,-248174,-227784,-222237,-216608,-195605,-164291,-145937,-115395,-101778,-71805,-39461,-10729,-21574,6189,30763,56834,91811,125062,156117,175680,209127,217858,254150,289084,302021,334629,364670,359765,384114,409809,439517,468946,487060,512945,537660,560247,589264,602410,619452,642834,654154,668448,687570,708989,727515,743838,765354,780981,791892,811994,829142,840721,848415,844869,812724,809385,782571,781352,787344,789472,797631,782000,753161,750393,755561,754517,763033,772386,758132,760902,757777,754215,764291,773969,781160,796065,799876,808258,823087,834577,833257,837915,841428,848576,843721,853544,862241,877336,898654,902481,904064,912403,917561,911801,923640,934033,938471,946002,942153,939051,943846,956597,967861,975105,981494,989571,984564,999596,1013003,1022708,1022088,1027654,1040128,1040179,1019731,1030886,1040654,1044213,1034915,999776,997433,977361,975165,975592,963939,943567,918028,909463,891916,884404,881429,872421,867749,870829,870589,872828,853930,865286,859854,868747,895313,913446,922741,939968,951552,959264,977928,997228,1020986,1036543,1052024,1065420,1086427,1103434,1124986,1143028,1160733,1166785,1182395,1193527,1189167,1195965,1204850,1202881,1209360,1215350,1224150,1235935,1246408,1255693,1255535,1263526,1274541,1295669,1311693,1336207,1352539,1355432,1369710,1379812,1392825,1401437,1399811,1407499,1417107,1422909,1419378,1427764,1441997,1451916,1460020,1462511,1483890,1471262,1480483,1495570,1506727,1516052,1528614,1543171
1.5_21_400,97630,83301,78311,77265,70038,73481,76242,77495,80429,82509,69210,68342,63385,67393,63978,65797,72789,77568,79611,78365,82698,90901,92475,99270,103897,104165,103579,102831,104800,104378,99937,104607,108716,117285,111278,104498,84535,75422,63096,49107,48454,47124,44917,45936,22466,6254,6011,6631,7268,12014,18854,25870,35163,31527,39621,45482,47643,55590,64681,71467,77026,72245,79216,84771,91599,97692,111074,124758,139344,145942,157710,171883,186879,205993,225605,241724,262963,282813,305127,306136,327885,345349,358817,378473,402271,430897,456306,484314,495655,518997,540364,556192,583922,605737,607615,624137,642772,660723,675902,691346,713871,734809,750441,766348,778277,792505,807448,822054,831257,839665,849840,865310,878951,891038,903409,911184,922625,937012,948133,956013,961121,930270,929171,916895,919520,920164,922939,927835,922078,899017,900538,904253,905170,910058,912536,909752,913634,917893,921950,927233,933469,938228,944242,948324,953512,961547,968398,972177,978468,984212,988755,988505,996018,1000920,1007978,1016394,1021445,1029727,1036827,1043916,1046139,1052723,1058428,1061813,1068730,1071809,1071289,1076968,1084005,1092439,1098484,1105074,1113815,1110694,1118008,1125832,1132806,1138914,1143801,1149725,1154467,1141857,1148170,1152506,1154245,1153105,1115104,1111779,1107119,1107486,1109084,1109827,1098254,1079357,1080639,1079298,1080683,1081530,1074078,1076953,1081318,1086378,1089459,1083018,1089921,1090429,1096870,1104274,1111840,1118920,1126052,1131183,1139324,1150291,1162372,1173969,1184748,1197178,1204035,1216615,1228170,1238245,1252377,1264143,1273260,1285661,1297668,1301562,1304693,1307760,1310252,1319941,1326305,1333078,1342444,1350014,1359045,1365649,1371064,1376583,1386511,1394029,1405672,1416145,1427522,1436042,1442711,1447257,1453626,1452573,1458253,1460707,1465137,1465982,1471491,1476143,1481114,1487936,1489093,1496267,1491710,1498616,1506836,1511469,1517565,1524284,1531842
1.5_5_250,90969,69445,50550,38918,20886,17850,20395,14329,14310,10853,-11890,-13236,-27906,-25319,-36820,-34270,-32604,-31249,-26328,-34278,-23996,-15244,-16747,-9143,-16581,-18095,-20546,-31496,-37263,-38316,-48266,-42007,-45630,-26842,-40039,-53276,-84712,-97335,-115996,-135921,-153044,-181452,-205400,-216854,-244617,-272128,-285343,-296347,-302099,-298943,-289080,-271767,-264824,-275300,-266543,-269751,-276068,-272968,-267370,-261137,-257970,-279277,-271284,-261489,-250534,-235624,-215158,-197696,-179947,-175016,-168701,-148774,-120272,-102637,-73495,-58816,-28723,1130,29481,20750,45370,67877,94188,129961,161937,192381,213195,244574,252479,289250,323020,337301,370890,399811,395549,419861,444893,473775,503273,522350,547178,570435,592655,621312,634600,652666,668988,679032,693176,710089,729292,747242,762574,783075,800199,811082,830978,847863,858856,865725,862764,831028,827590,801265,800865,805898,808215,814859,799442,771855,767759,773362,771411,778947,787282,772593,774255,771864,767490,775521,783701,791008,804205,810062,818918,833410,842812,842554,845981,851389,858618,851627,860398,868380,882705,903676,906554,907930,914152,919224,915488,926129,935739,939068,946100,941696,940969,946010,958278,969337,976643,982183,990397,985472,999900,1011134,1020288,1020369,1025352,1036369,1036488,1016291,1026412,1035426,1038725,1030902,996652,994594,978186,978150,979263,967601,948274,922724,917685,905601,901546,897744,887303,883920,887832,887358,889813,870759,880404,875331,883007,906107,921580,931185,947278,957368,962947,980435,999189,1020027,1034900,1049690,1062321,1083075,1099284,1118710,1134411,1152165,1157507,1170419,1180411,1179527,1186746,1192802,1192707,1200100,1206113,1212968,1223654,1234037,1242712,1243100,1249233,1259993,1280453,1296376,1320479,1331926,1334637,1347104,1357230,1369502,1377430,1375336,1383827,1392442,1397882,1396127,1402390,1416214,1426134,1434443,1438361,1457266,1441384,1449894,1464277,1474063,1481445,1493163,1508070
1.25_21_350,94685,77863,70053,65393,54782,56033,58718,58201,58989,60027,43428,42694,33370,38245,31379,32937,38792,42131,44544,41909,46336,53609,53642,61531,62457,62872,60693,55073,52099,53093,43030,48236,50745,60734,50545,37585,10355,-1033,-16568,-35017,-37146,-41329,-47198,-50044,-79339,-102928,-106523,-108176,-108971,-105582,-96768,-87845,-76037,-83874,-75526,-70493,-71775,-63928,-55758,-49660,-43950,-53207,-48852,-43353,-36536,-28112,-11165,3230,19904,25252,37558,54703,74166,93462,115623,133181,158229,181637,206740,205984,230519,251002,267156,291347,319076,349964,374148,405156,415517,441790,466988,482369,512284,536299,534858,554654,576853,597865,616116,634146,658542,681822,700823,719700,733057,749334,766123,783375,794803,806052,819311,835188,849975,865013,878921,887231,900862,918035,929570,938281,941300,908196,907363,889100,891630,892530,896587,901925,893557,865663,866840,871566,870644,875512,878601,872040,877511,881142,880929,887494,895148,899702,908010,912577,918813,928252,936862,940706,947330,954235,960318,957843,966311,972870,980030,990888,996377,1002302,1008909,1015276,1016845,1023052,1028467,1033033,1040967,1042203,1041138,1045167,1053128,1063050,1068942,1076432,1084299,1080988,1090946,1101083,1109131,1114244,1119834,1127080,1131770,1112490,1118936,1124250,1125256,1120787,1081350,1077693,1073229,1073635,1076183,1073200,1057446,1034696,1033231,1028066,1028574,1029280,1018284,1019880,1025594,1029835,1032897,1020029,1028666,1029716,1036104,1046050,1054859,1064830,1072890,1079304,1086956,1099370,1112958,1126556,1138091,1151437,1159608,1173892,1187058,1199152,1214004,1228144,1236320,1249635,1263241,1267083,1269073,1271715,1272420,1283280,1290214,1296410,1307075,1315548,1326347,1331010,1338378,1345610,1357794,1366364,1379939,1391509,1400844,1408270,1416000,1421828,1428767,1428373,1434980,1437083,1441732,1440685,1446728,1452984,1457599,1463569,1465992,1475259,1464839,1472183,1481404,1485384,1491079,1499051,1507913
2.0_10_350,98361,86913,77234,75557,66030,66710,68887,69703,72855,74426,61209,62349,60070,63956,56978,58720,63135,66507,71097,68814,71167,79304,80121,87017,88518,87040,86164,85637,85577,85527,77166,81458,83145,94583,83943,80278,56346,47596,40428,31278,30541,15395,6750,7155,-19263,-30542,-34848,-34909,-38204,-34366,-24431,-15493,-7005,-6931,-3792,289,-531,8223,14481,16470,24808,13943,18140,23486,32565,42376,54941,69879,86874,95055,105578,120342,141801,160628,180176,194625,212672,235683,260314,265984,279966,297331,319384,344795,372255,400054,426318,451042,464118,489762,519599,538074,563681,586559,585167,599143,618502,637061,659758,679858,702482,721521,737787,756078,768922,784539,800035,807727,814119,826545,837713,850317,866192,879593,895057,905272,921953,936797,947004,955903,956535,925395,923805,903896,905318,907258,911260,915233,909593,882596,882813,886775,886683,891287,893707,887285,889205,894901,893753,898236,902926,909518,919604,924287,929797,937930,944565,948800,951522,955959,961068,960001,966718,970334,979543,991848,995652,999860,1005816,1012097,1012624,1017928,1024094,1029705,1036466,1034320,1035580,1040509,1046344,1054974,1062746,1067507,1075269,1073714,1081543,1090559,1098081,1101517,1105825,1110254,1113675,1094516,1098800,1102876,1104253,1100090,1071622,1071275,1066647,1067883,1070182,1068473,1056026,1031322,1030072,1027405,1028015,1028407,1019875,1022323,1026877,1031053,1033998,1030370,1035567,1034515,1038554,1048228,1055207,1064228,1073867,1080365,1089451,1102432,1115076,1130715,1143629,1156383,1165699,1177757,1193334,1208162,1221709,1231738,1243543,1255402,1265308,1265591,1269351,1273756,1273341,1282902,1290922,1295999,1304200,1310303,1318471,1321176,1327125,1332308,1342107,1354988,1370750,1381955,1388105,1393014,1402953,1410496,1418619,1419226,1424562,1426980,1430005,1429607,1434470,1439073,1446089,1452905,1454559,1464144,1453212,1458249,1466873,1473411,1478636,1487089,1497665
1.5_10_300,95846,79722,61433,53514,40175,39310,41100,39612,39676,39808,18939,18334,7165,11318,622,3306,7017,10921,16046,10881,14117,22003,20178,26560,26212,25038,20927,14643,9977,9827,-1263,4186,4442,19175,6461,-2359,-31533,-45552,-62944,-78560,-80723,-104797,-125078,-127924,-161200,-179972,-190046,-193533,-196673,-192180,-183257,-174151,-165103,-172246,-166745,-164808,-167121,-161425,-154988,-151803,-145909,-165305,-157305,-149606,-139010,-123414,-106425,-89049,-69992,-64233,-54135,-38043,-12147,8879,33566,48063,71714,100370,128197,123912,143498,164890,189249,219039,251238,282749,307038,338166,350834,380444,413130,428715,457759,484284,482825,499772,523964,545325,571362,591646,616915,638507,657216,679403,693777,711624,728451,740737,749194,766172,782058,797135,813225,830062,846724,857842,876664,893465,904377,913511,913043,878407,875648,848801,851227,854739,859118,865377,856168,827350,825680,831068,830342,836602,841505,830026,832056,833338,832827,839295,845354,852111,863411,870268,877624,889077,898704,899812,903661,909884,916823,911207,919979,926663,937826,954604,957689,959312,965194,970083,968041,974778,983606,991000,999175,994669,993798,999564,1008855,1019997,1028375,1032357,1039032,1034380,1045533,1057490,1065107,1064310,1068674,1074610,1076006,1056055,1062052,1067360,1069742,1061352,1025762,1024467,1016035,1017741,1020891,1014454,995681,969245,966354,957496,955683,956078,944485,944145,951868,953312,954979,944482,952841,951618,957140,971732,981717,992006,1001738,1010511,1018284,1034410,1050701,1069453,1082015,1095083,1105468,1119960,1137093,1155488,1171029,1182161,1191616,1203761,1214151,1214857,1220046,1225654,1223861,1234978,1241509,1249173,1260075,1266273,1273586,1276029,1281876,1288264,1301054,1317091,1336105,1348976,1352315,1360792,1372286,1381295,1388763,1388684,1396747,1401680,1404794,1403368,1409923,1417088,1424355,1431418,1432529,1445650,1431239,1438486,1450434,1458231,1464832,1475391,1486772
1.75_5_250,93467,73012,56006,46295,30029,27853,28783,23777,26428,24419,3203,3649,-12086,-10776,-21337,-17325,-16956,-15242,-11241,-17512,-10999,-4333,-3365,4325,-2805,-5395,-8017,-16955,-20707,-21474,-30137,-23387,-27358,-10006,-25616,-37148,-66562,-78046,-91803,-107138,-120225,-144591,-164487,-171995,-194909,-220721,-228764,-236913,-241056,-235911,-225753,-210893,-204828,-213072,-205532,-207722,-214251,-210857,-205164,-200010,-197922,-217845,-210352,-201087,-193465,-181416,-162666,-146339,-130838,-125136,-116184,-95737,-70673,-53185,-24570,-8799,18764,47091,74752,66655,89713,111473,135604,170447,200646,231075,251500,279729,286560,322457,354294,370850,403946,431528,428467,450910,474632,502584,530408,550937,575443,598498,619447,646926,660369,677503,691062,700507,713466,727600,743999,762495,775919,794772,811555,822063,840933,857435,867268,873017,871316,840106,836516,810742,811164,815529,818362,824902,809857,783444,779773,785187,783064,788478,796441,781484,784171,782326,777763,784154,792653,800030,812053,818075,826395,839201,847629,846351,847978,854099,860135,854122,862001,870655,884266,903613,907091,908920,913169,919490,916477,924579,933568,936216,942327,938230,937259,942919,954074,963148,971256,974871,981317,977355,991276,1001590,1009370,1008738,1013553,1024009,1025328,1005020,1012123,1020579,1021873,1013337,980240,979157,965500,966564,969461,959396,942587,916994,913635,905926,902806,900406,892109,890689,895014,893153,894724,876793,885488,882962,890653,911105,923897,933088,948078,957970,962336,978710,997346,1015207,1030147,1045523,1057523,1078300,1095035,1112694,1127507,1142679,1149348,1161966,1171204,1170954,1178401,1182375,1183333,1192095,1198525,1203275,1212754,1222758,1230451,1232040,1239536,1249714,1269326,1284454,1306794,1316827,1318802,1329156,1339455,1350919,1358803,1356826,1364633,1371981,1378119,1376239,1383617,1395814,1404561,1412080,1415048,1432125,1414391,1421574,1435845,1442575,1449974,1460893,1475685
1.0_21_300,90082,71029,56169,49147,34597,34676,36161,35137,33961,33438,11805,7887,-4363,-1701,-12727,-8157,-2856,-277,3297,-2444,4704,12068,9509,17345,16856,17029,12653,4523,357,-66,-9904,-5658,-3959,8904,-2890,-16716,-46667,-61200,-82241,-106777,-113546,-122071,-135499,-142710,-173900,-200659,-211479,-214961,-218317,-213413,-202572,-191695,-180083,-191108,-180594,-177458,-181701,-178319,-166798,-159431,-154743,-167046,-160137,-151756,-145352,-135098,-114712,-97865,-78926,-74328,-61755,-42439,-20137,188,25944,42864,71154,98838,126044,121673,149303,172638,192265,220047,252011,284410,307143,341696,351360,381610,410906,426070,457637,484935,481201,502873,527959,552413,574241,594039,619258,643427,664375,687239,699839,717347,732830,749091,760654,775411,791982,810081,824988,842606,858582,867976,883084,901089,913293,921321,922399,888934,886258,860657,863446,864621,868105,874184,863653,832677,832839,837354,835539,841387,845621,836718,839924,841459,840036,848868,858511,864475,873629,878864,887784,898428,907938,908809,916232,920883,927828,923429,933507,940719,948746,961489,965849,968992,976191,981510,978211,986633,993884,1000053,1008539,1007932,1006118,1011077,1021198,1030944,1037642,1042941,1050723,1047867,1058658,1070381,1080501,1081623,1085139,1094332,1097865,1076821,1085274,1089845,1091640,1085581,1047114,1039201,1032875,1032938,1034506,1026734,1006099,977351,971553,958178,954996,955057,944025,942109,949172,950807,952474,935432,946389,945544,952756,966012,976291,988219,996226,1006407,1013394,1027515,1040864,1058293,1070108,1085426,1095255,1112413,1128059,1143333,1160469,1174978,1184921,1198311,1210916,1214156,1218389,1218849,1217948,1226359,1233776,1243606,1253878,1261902,1272374,1277763,1287097,1294862,1308742,1319083,1334554,1348318,1355529,1366439,1374307,1383115,1389976,1389630,1395850,1398149,1402981,1402007,1408511,1416240,1420685,1426912,1428222,1440102,1424832,1434376,1445409,1449223,1456066,1464878,1474857
